date,bank,no_fixed_term,1_month,3_months,6_months,9_months,12_months,18_months,24_months
2026-01-20,Vietbank,,4.1,4.4,5.5,5.6,5.8,6.0,
2026-01-23,Vietbank,,4.1,4.4,5.5,5.6,5.8,6.0,
2026-01-20,Vietcombank,,0.1,,0.1,,,,4.7
2026-01-23,BVBank,,4.75,4.75,6.2,6.2,6.5,6.2,
2026-01-21,VietABank,,4.3,4.5,5.4,5.4,5.7,5.8,
2026-01-23,Sacombank,,4.75,4.75,6.0,6.0,6.0,6.0,
2026-01-23,SHB,,4.2,4.65,5.6,5.6,5.8,6.0,
2026-01-20,ACB,,4.3,4.65,5.2,5.3,5.7,,
2026-01-23,BIDV,,3.0,3.4,4.5,4.5,5.2,5.3,5.3
2026-01-20,Vietinbank,0.1,2.1,2.4,2.4,3.5,5.2,5.2,5.3
2026-01-21,BVBank,,4.75,4.75,6.2,6.2,6.5,6.2,
2026-01-23,OCB,0.0,4.75,4.75,6.2,6.2,6.5,6.7,6.9
2026-01-22,Sacombank,,4.75,4.75,6.0,6.0,6.0,6.0,
2026-01-20,LPBank,,4.2,4.4,5.7,5.7,5.8,5.8,5.8
2026-01-22,Saigonbank,,4.4,4.6,5.5,5.6,6.0,6.2,6.2
2026-01-22,SeABank,,3.95,4.45,4.95,5.15,5.3,5.95,5.95
2026-01-20,VIB,0.25,,4.75,,5.6,6.5,5.7,5.8
2026-01-22,Eximbank,,4.3,4.5,4.9,4.9,5.2,5.7,
2026-01-23,NCB,,4.5,4.7,6.2,6.25,6.3,6.3,
2026-01-21,ABBANK,0.1,,4.0,6.3,6.3,6.3,6.3,6.3
2026-01-22,PGBank,,4.75,4.75,7.1,7.1,7.2,6.8,6.8
2026-01-22,VIB,0.25,,4.75,,5.6,6.5,5.7,5.8
2026-01-20,BIDV,,3.0,3.4,4.5,4.5,5.2,5.3,5.3
2026-01-20,MB,0.05,3.5,3.9,4.5,4.5,5.4,5.4,6.2
2026-01-23,Nam A Bank,0.5,3.9,4.0,5.0,5.2,5.5,5.7,
2026-01-22,BIDV,,3.0,3.4,4.5,4.5,5.2,5.3,5.3
2026-01-22,Bac A Bank,0.5,4.55,4.55,6.8,6.8,6.85,6.9,6.9
2026-01-23,ABBANK,0.1,,4.0,6.3,6.3,6.3,6.3,6.3
2026-01-22,HDBank,,4.2,4.3,5.5,5.3,5.8,6.1,
2026-01-21,Vietbank,,4.1,4.4,5.5,5.6,5.8,6.0,
2026-01-20,NCB,,4.5,4.7,6.2,6.25,6.3,6.3,
2026-01-23,VietABank,,4.3,4.5,5.4,5.4,5.7,5.8,
